ALTITUDE,PRESSURE,TIME STAMPING
8535.025494986166,1074.8120148272626,2023-10-26 03:32:38
7735.939649939678,977.6200161620584,2023-10-26 03:32:39
4621.291659425248,981.7317438585734,2023-10-26 03:32:40
6305.87870430108,1027.8177309848145,2023-10-26 03:32:41
8370.730743724003,954.0221598323586,2023-10-26 03:32:42
2184.656243368,1064.140419200652,2023-10-26 03:32:43
6814.508656318844,922.5330160604076,2023-10-26 03:32:44
8341.648278016033,1018.6587637266308,2023-10-26 03:32:45
3889.475391899789,965.3651062430914,2023-10-26 03:32:46
710.7209887569799,1026.1913189550085,2023-10-26 03:32:47
120.72948803139028,980.4670016836752,2023-10-26 03:32:48
5161.705189596557,1057.7999699462653,2023-10-26 03:32:49
2476.8260513854334,1086.0916704923638,2023-10-26 03:32:50
2987.3587848066263,976.3557916434914,2023-10-26 03:32:51
9967.01652579471,1054.930864292528,2023-10-26 03:32:52
2864.86929855575,908.1403566095556,2023-10-26 03:32:53
7670.527916749442,1000.6371783893652,2023-10-26 03:32:54
1579.2572859065367,948.3691337405756,2023-10-26 03:32:55
2688.217361546984,1089.6817060061444,2023-10-26 03:32:56
4720.407180197716,917.7454588142912,2023-10-26 03:32:57
8485.064879754418,1006.680226181738,2023-10-26 03:32:58
4293.038126355809,961.6182274136376,2023-10-26 03:32:59
837.4144172294696,1038.156913771891,2023-10-26 03:33:00
7745.0286944737345,928.5606831669652,2023-10-26 03:33:01
2862.1530416156147,1038.233348189424,2023-10-26 03:33:02
4116.991933717837,927.852225434683,2023-10-26 03:33:03
9600.68437323793,943.9954231379122,2023-10-26 03:33:04
9947.799258443638,932.4763220808668,2023-10-26 03:33:05
2469.599155921956,1059.6688641205942,2023-10-26 03:33:06
899.3102287134758,1070.0931309647822,2023-10-26 03:33:07
6562.68883026021,987.207999714024,2023-10-26 03:33:08
1442.576030405125,937.5244290973692,2023-10-26 03:33:09
9470.521693762965,1031.8460959205488,2023-10-26 03:33:10
6768.587495105943,1027.1306835946848,2023-10-26 03:33:11
4846.28586799902,1085.854599557969,2023-10-26 03:33:12
980.0329469058,1000.4075786297416,2023-10-26 03:33:13
423.1679484592132,1000.8644240757604,2023-10-26 03:33:14
5038.8873252243,955.6359272295132,2023-10-26 03:36:07
1420.4847640245755,937.4033171372226,2023-10-26 03:36:08
237.0375596642771,1099.2976194818666,2023-10-26 03:36:09
3413.535634127599,1078.404136163267,2023-10-26 03:36:10
4188.887636298314,1030.0963030742837,2023-10-26 03:36:11
3728.3614301238767,949.9801899312664,2023-10-26 03:36:12
4039.3314785981543,992.7012571014116,2023-10-26 03:36:13
