HUMIDITY,TIME STAMPING
81.08652470660827,2023-10-26 03:32:38
68.70904584496299,2023-10-26 03:32:39
21.992306044352627,2023-10-26 03:32:40
11.84663257677434,2023-10-26 03:32:41
47.07469390325477,2023-10-26 03:32:42
48.26183804952928,2023-10-26 03:32:43
4.611613618719879,2023-10-26 03:32:44
73.84996994685477,2023-10-26 03:32:45
10.515183201006174,2023-10-26 03:32:46
41.186674260918,2023-10-26 03:32:47
28.49083462209272,2023-10-26 03:32:48
77.07315716212374,2023-10-26 03:32:49
56.34560816679266,2023-10-26 03:32:50
97.6396532666604,2023-10-26 03:32:51
52.02140800386278,2023-10-26 03:32:52
15.254724013677857,2023-10-26 03:32:53
30.784097419943347,2023-10-26 03:32:54
6.9839180516574455,2023-10-26 03:32:55
70.71804861271337,2023-10-26 03:32:56
51.725534957562445,2023-10-26 03:32:57
91.01737556680936,2023-10-26 03:32:58
57.672754442100825,2023-10-26 03:32:59
84.16795693516283,2023-10-26 03:33:00
43.10655402614761,2023-10-26 03:33:01
22.366116581221497,2023-10-26 03:33:02
49.344871675960015,2023-10-26 03:33:03
22.843367388784586,2023-10-26 03:33:04
18.610663639254778,2023-10-26 03:33:05
25.056805531970628,2023-10-26 03:33:06
57.41189640426339,2023-10-26 03:33:07
85.72124639828573,2023-10-26 03:33:08
48.59311951426852,2023-10-26 03:33:09
36.06952506926865,2023-10-26 03:33:10
15.107318911990053,2023-10-26 03:33:11
36.7239024145392,2023-10-26 03:33:12
33.006267851939285,2023-10-26 03:33:13
55.14029287213743,2023-10-26 03:33:14
45.496514085535246,2023-10-26 03:36:07
56.73209913805709,2023-10-26 03:36:08
0.6749597847105715,2023-10-26 03:36:09
57.752971520352204,2023-10-26 03:36:10
98.63453709745993,2023-10-26 03:36:11
6.310468667428504,2023-10-26 03:36:12
87.53320421337285,2023-10-26 03:36:13
